,course_title,Channel Title,Subscriber Count,Views,Likes,Comment Count,Language,Duration (Seconds),Theme,clean_course_title
58,🚀 Introduction to JavaScript | Web Development Tutorial #34,cs with alam,313,12,1,0,hi,814,web development tutorial, Introduction JavaScript  Web Development Tutorial 34
59,HTML Tutorial - How to Make a Super Simple Website,freeCodeCamp.org,8820000,3166049,69843,2244,en,2004,web development tutorial,HTML Tutorial  Super Simple Website
60,How To Create A Website using HTML & CSS | Step-by-Step Tutorial,PRAROZ,56000,3300074,56225,2340,en,1639,web development tutorial,Create Website HTML  CSS  StepbyStep Tutorial
61,Stop wasting time when you're learning to code!,Coder Coder,476000,1811561,85388,1531,en,416,web development tutorial,Stop wasting time learning code
62,FASTEST Way to Learn Web Development and ACTUALLY Get a Job,Power Couple,514000,1471774,52349,1363,en,663,web development tutorial,FASTEST Way Learn Web Development ACTUALLY Job
63,Web Development In 2023 - A Practical Guide,Traversy Media,2180000,756221,20449,576,en,10465,web development tutorial,Web Development 2023  Practical Guide
64,Web Development Tutorial For Beginners - how to make a website,LearnCode.academy,767000,834489,11752,461,en,324,web development tutorial,Web Development Tutorial Beginners  website
65,Fastest way to learn Web Development #webdevelopment #html #css #javascript,Power Couple,514000,218215,22239,139,en,49,web development tutorial,Fastest way learn Web Development webdevelopment html css javascript
66,HTML Tutorial for Beginners,Kevin Stratvert,2650000,290413,7571,274,en,2346,web development tutorial,HTML Tutorial Beginners
67,How to Start Web Development? Complete Roadmap for FullStack Developer | 2022,Apna College,4660000,3165715,149584,3566,Unknown,941,web development tutorial,Start Web Development Complete Roadmap FullStack Developer  2022
68,HTML Full Course - Build a Website Tutorial,freeCodeCamp.org,8820000,7112558,170534,5822,en,7352,web development tutorial,HTML Course  Build Website Tutorial
69,Web Development with HTML & CSS – Full Course for Beginners,freeCodeCamp.org,8820000,144288,5180,202,en,70933,web development tutorial,Web Development HTML  CSS  Course Beginners
70,FREE Web Design Course: Introduction to Web Design | Episode 1,Flux Academy,717000,1091421,34094,680,en,487,web development tutorial,FREE Web Design Course Introduction Web Design  Episode 1
71,Web Design for Beginners | FREE COURSE,Envato Tuts+,1350000,3217661,97290,1451,en,19124,web development tutorial,Web Design Beginners  FREE COURSE
72,JavaScript Full Course (2023) - Beginner to Pro - Part 1,SuperSimpleDev,349000,3042125,69470,3985,en,43042,web development tutorial,JavaScript Course 2023  Beginner Pro  1
73,HTML Tutorial for Beginners | Complete HTML with Notes & Code,Apna College,4660000,10303230,247480,12389,Unknown,7560,web development tutorial,HTML Tutorial Beginners  Complete HTML Notes  Code
74,What is Web Development ? Complete RoadMap from Basics to Advanced | 2023,Apna College,4660000,876279,41164,1984,Unknown,885,web development tutorial,Web Development  Complete RoadMap Basics Advanced  2023
75,Learn Web Development with ChatGPT,Power Couple,514000,100602,8994,59,en,59,web development tutorial,Learn Web Development ChatGPT
76,Don’t learn web dev this way,Kevin Powell,851000,1029810,81104,753,en,60,web development tutorial,Dont learn web dev way
77,HOW I Learned Full Stack Web Development in 30 Days?,Ishan Sharma,1120000,754551,25202,1135,en,749,web development tutorial,Learned Stack Web Development 30 Days
78,"Python Website Full Tutorial - Flask, Authentication, Databases & More",Tech With Tim,1400000,2542554,52883,2197,en,8200,web development tutorial,Python Website Tutorial  Flask Authentication Databases 
79,Become a Web Developer in 6 Months 2022 | Legit Step-By-Step Tutorial,Chris Sean,154000,245404,13225,791,en,1220,web development tutorial,Web Developer 6 Months 2022  Legit StepByStep Tutorial
80,How To Make Website Using HTML & CSS | Full Responsive Multi Page Website Design Step by Step,GreatStack,939000,5539654,123705,4433,en,4319,web development tutorial,Website HTML  CSS  Responsive Multi Page Website Design Step Step
81,Full Course Web Development [22 Hours] | Learn Full Stack Web Development From Scratch,codedamn,401000,1959302,72214,849,en,78515,web development tutorial,Course Web Development 22 Hours  Learn Stack Web Development Scratch
82,Full Stack Web Development Course 2023 | Complete Full Stack Developer Course | Simplilearn,Simplilearn,3540000,304148,6471,90,en,42777,web development tutorial,Stack Web Development Course 2023  Complete Stack Developer Course  Simplilearn
83,HTML & CSS for Beginners | FREE MEGA COURSE (7+ Hours!),Envato Tuts+,1350000,932447,26494,819,en,28306,web development tutorial,HTML  CSS Beginners  FREE MEGA COURSE 7 Hours
84,HTML & CSS Full Course for free 🌎 (2023),Bro Code,1470000,1127631,35124,1376,en,14563,web development tutorial,HTML  CSS Course free  2023
85,Figma tutorial for Beginners: Complete Website from Start to Finish,Flux Academy,717000,1287322,31505,773,en,2601,web development tutorial,Figma tutorial Beginners Complete Website Start Finish
86,How to Properly Layout A Website (For Beginners),The Website Architect,33000,252218,11515,118,Unknown,890,web development tutorial,Properly Layout Website For Beginners
87,Stop Learning These Programming Languages (as a beginner),Power Couple,514000,496522,8905,609,en,387,web development tutorial,Stop Learning Programming Languages as beginner
88,Learn Web Development Fast!,CodeWithHarry,5210000,598496,63671,2475,hi,53,web development tutorial,Learn Web Development Fast
89,what making web development tutorials is really like 😅 #shorts,Coder Coder,476000,382458,15785,307,en,16,web development tutorial,making web development tutorials like  shorts
90,Full Stack Web Development Full Course - 10 Hours | Full Stack Web Developer Course | Edureka,edureka!,3900000,372557,5901,57,en,36339,web development tutorial,Stack Web Development Course  10 Hours  Stack Web Developer Course  Edureka
91,Web Dev Roadmap in One Minute! 🚀 Beginners Guide to Web Development,Dave Gray,250000,83261,3082,46,en,60,web development tutorial,Web Dev Roadmap Minute  Beginners Guide Web Development
92,🔥 Front End Web Development Full Course 2023 | Learn Frontend Development in 12 Hours | Simplilearn,Simplilearn,3540000,33227,722,11,en,42019,web development tutorial, End Web Development Course 2023  Learn Frontend Development 12 Hours  Simplilearn
93,Web Development Tutorial For Beginners | Web Development from Scratch | Intellipaat,Intellipaat,7920000,1512381,29724,594,en,36034,web development tutorial,Web Development Tutorial Beginners  Web Development Scratch  Intellipaat
94,Frontend web development - a complete overview,SuperSimpleDev,349000,258482,12852,242,en,350,web development tutorial,Frontend web development  complete overview
95,JavaScript Interview Questions | Sigma Web Development Course - Tutorial #83,CodeWithHarry,5210000,13080,884,186,hi,1268,web development tutorial,JavaScript Interview Questions  Sigma Web Development Course  Tutorial 83
98,I built 10 web apps... with 10 different languages,Fireship,2670000,1373011,40482,1863,en,863,web development tutorial,built 10 web apps 10 different languages
99,How To Create A Free Website - with Free Domain & Hosting,Website Learners,1670000,7894074,225942,16228,en,1216,web development tutorial,Create Free Website  Free Domain  Hosting
100,Becoming a Digital Marketer with No Experience | Digital Marketing Full LIVE Course 🔥,WsCube Tech,3020000,5768,309,15,hi,187,digital marketing course,Digital Marketer Experience  Digital Marketing LIVE Course 
101,Digital Marketing In 5 Minutes | What Is Digital Marketing? | Learn Digital Marketing | Simplilearn,Simplilearn,3540000,3657347,83060,3863,en,325,digital marketing course,Digital Marketing 5 Minutes  Digital Marketing  Learn Digital Marketing  Simplilearn
102,Digital Marketing Course Part - 1 🔥| Digital Marketing Tutorial For Beginners | Simplilearn,Simplilearn,3540000,3548715,82994,1636,en,39020,digital marketing course,Digital Marketing Course  1  Digital Marketing Tutorial Beginners  Simplilearn
103,Digital Marketing Full Course 2023 | Digital Marketing Course | Digital Marketing | Simplilearn,Simplilearn,3540000,734920,15949,122,en,41835,digital marketing course,Digital Marketing Course 2023  Digital Marketing Course  Digital Marketing  Simplilearn
104,Digital Marketing Full Course 2023 | Digital Marketing Course | Digital Marketing | Simplilearn,Simplilearn,3540000,496727,12605,149,en,43054,digital marketing course,Digital Marketing Course 2023  Digital Marketing Course  Digital Marketing  Simplilearn
105,5 FREE Digital Marketing Courses 2024 | Complete Digital Marketing Course For Beginners,HBA Services,974000,52976,3660,466,hi,501,digital marketing course,5 FREE Digital Marketing Courses 2024  Complete Digital Marketing Course Beginners
106,Digital Marketing Course For Beginners 2023 | Learn Digital Marketing From Scratch | Simplilearn,Simplilearn,3540000,11420,243,5,en,16513,digital marketing course,Digital Marketing Course Beginners 2023  Learn Digital Marketing Scratch  Simplilearn
107,Learn DIGITAL MARKETING Before 2023 Ends! [No Experience Needed] | Digital Marketing Course,Ishan Sharma,1120000,107999,5282,153,en,1564,digital marketing course,Learn DIGITAL MARKETING 2023 Ends No Experience Needed  Digital Marketing Course
108,FREE Digital Marketing Course in ThanjavurLearn with India's  Leading Digital Coach,Sunil Chaudhary - Digital Success Coach,5650,5,1,0,en,100,digital marketing course,FREE Digital Marketing Course ThanjavurLearn Indias Leading Digital Coach
109,Digital Marketing Complete Course | Digital Marketing Full Course in Hindi/Urdu,HBA Services,974000,200112,10018,422,hi,19557,digital marketing course,Digital Marketing Complete Course  Digital Marketing Course HindiUrdu
110,Top 5 Best Digital Marketing Courses (2023),Shane Hummus,605000,99828,3336,120,en,546,digital marketing course,5 Best Digital Marketing Courses 2023
111,Digital Marketing Complete Course | Full Digital Marketing Tutorial for Beginners | Learn Easily,WsCube Tech,3020000,4459513,122004,1746,hi,10738,digital marketing course,Digital Marketing Complete Course  Digital Marketing Tutorial Beginners  Learn Easily
112,Becoming a Digital Marketer with No Experience | Digital Marketing Full LIVE Course 🔥,WsCube Tech,3020000,120385,2077,68,hi,171,digital marketing course,Digital Marketer Experience  Digital Marketing LIVE Course 
113,How I Would Learn Digital Marketing (If I Could Start Over),Ahrefs,471000,195312,6040,230,en,775,digital marketing course,Learn Digital Marketing If Start Over
114,5 FREE Top Rated Digital Marketing Courses for Beginners in 2023 | FREE Digital Marketing Courses,Groww plus,146000,312519,11994,179,hi,447,digital marketing course,5 FREE Rated Digital Marketing Courses Beginners 2023  FREE Digital Marketing Courses
115,Digital Marketing Course in 7 Hours | Digital Marketing Tutorial for Beginners [2023] | Edureka,edureka!,3900000,1096921,19808,126,en,27106,digital marketing course,Digital Marketing Course 7 Hours  Digital Marketing Tutorial Beginners 2023  Edureka
116,Digital Marketing Full Course - 10 Hours [2024] | Digital Marketing Tutorial for Beginners | Edureka,edureka!,3900000,257972,5377,47,en,40515,digital marketing course,Digital Marketing Course  10 Hours 2024  Digital Marketing Tutorial Beginners  Edureka
117,3 Best Sites for free Digital Marketing Courses in 2023,Alexander Gutierrez,866,4756,328,2,Unknown,18,digital marketing course,3 Best Sites free Digital Marketing Courses 2023
118,"Earn Money By Digital Marketing Course, Digital Marketing Free Course Lecture 01, Digital Marketing",Meet Mughals,654000,430876,11293,246,hi,1011,digital marketing course,Earn Money Digital Marketing Course Digital Marketing Free Course Lecture 01 Digital Marketing
119,75+ FREE  Digital Marketing Course by Google | Digital Marketing 2023,HBA Services,974000,211079,11081,221,hi,394,digital marketing course,75 FREE Digital Marketing Course Google  Digital Marketing 2023
120,how I would learn digital marketing (If I could start over),Senator We Run Ads,173000,1381622,66164,1603,en,1192,digital marketing course,learn digital marketing If start over
121,Digital Marketing 101 - A Complete Beginner's Guide to Marketing (Explainer Video),Laurie Wang,14000,87398,2663,82,en,598,digital marketing course,Digital Marketing 101  Complete Beginners Guide Marketing Explainer Video
122,Digital Marketing Course - Introduction to digital marketing (Video 1),Senator We Run Ads,173000,181818,5376,220,en,2127,digital marketing course,Digital Marketing Course  Introduction digital marketing Video 1
123,7 Websites To Learn Digital Marketing For FREE in 2023 | Digital Marketing Courses and Certification,Franklin Emmanuel,244000,67484,3329,167,en,900,digital marketing course,7 Websites Learn Digital Marketing FREE 2023  Digital Marketing Courses Certification
124,All about Digital Marketing | Simply Explained,Apna College,4660000,2160051,74697,1540,Unknown,756,digital marketing course,Digital Marketing  Simply Explained
125,Waa maxay Digital Marketing iyo Sida loo Bilaabo,Zakariye Abdullahi Ali,146000,85982,7763,286,Unknown,702,digital marketing course,Waa maxay Digital Marketing iyo Sida loo Bilaabo
126,8 FREE Websites To Learn Digital Marketing!,Aurelius Tjin,434000,90181,5248,158,en,425,digital marketing course,8 FREE Websites Learn Digital Marketing
127,What is Digital Marketing | How To Do Digital Marketing in 2023,HBA Services,974000,757413,58649,1958,hi,650,digital marketing course,Digital Marketing  Digital Marketing 2023
128,How to Start Selling Digital Products (STEP BY STEP) FREE COURSE,Baddie In Business,820000,130143,9140,283,en,1712,digital marketing course,Start Selling Digital Products STEP STEP FREE COURSE
129,How much does DIGITAL MARKETING pay?,Broke Brothers,218000,2041201,60284,520,Unknown,35,digital marketing course,DIGITAL MARKETING pay
130,32 FREE Digital Marketing Courses by GOOGLE!,Groww plus,146000,67845,5419,20,hi,55,digital marketing course,32 FREE Digital Marketing Courses GOOGLE
131,Digital Marketing Course - Performance Marketing terminology  (Video 2),Senator We Run Ads,173000,85422,1792,120,en,2883,digital marketing course,Digital Marketing Course  Performance Marketing terminology Video 2
132,Digital Marketing 101 (A Beginner’s Guide To Marketing),Adam Erhart,370000,742401,21465,598,en,1052,digital marketing course,Digital Marketing 101 A Beginners Guide Marketing
133,The best FREE Digital Marketing Course! #shorts,Sho Dewan,10500,36993,1940,18,Unknown,16,digital marketing course,best FREE Digital Marketing Course shorts
134,Digital Marketing Full Course Free | Digital Marketing Tutorial For Beginners | #digitalmarketing,Marketing Fundas,458000,800203,39437,2362,en,0,digital marketing course,Digital Marketing Course Free  Digital Marketing Tutorial Beginners  digitalmarketing
135,Digital Marketing Full Course in Hindi | Digital Marketing हिंदी में सीखें | ₹10 Lakh Roadmap,Saddam Kassim,331000,502683,14325,529,hi,8874,digital marketing course,Digital Marketing Course Hindi  Digital Marketing     10 Lakh Roadmap
136,Digital Marketing Full Course 2023 | Digital Marketing Tutorial For Beginner In 12 Hours|Simplilearn,Simplilearn,3540000,10426,238,3,en,40051,digital marketing course,Digital Marketing Course 2023  Digital Marketing Tutorial Beginner 12 HoursSimplilearn
137,Top 3 YouTube Channels for Digital Marketing!,Groww plus,146000,658082,69996,228,en,60,digital marketing course,3 YouTube Channels Digital Marketing
139,Intro to Digital Marketing & E-commerce | Google Digital Marketing & E-commerce Certificate,Google Career Certificates,312000,105071,2002,82,en,1198,digital marketing course,Intro Digital Marketing  Ecommerce  Google Digital Marketing  Ecommerce Certificate
141,FREE Resources to Learn Marketing in 2023 | Digital Marketing Courses and Certification,Neil Patel,1220000,280159,13787,843,en,326,digital marketing course,FREE Resources Learn Marketing 2023  Digital Marketing Courses Certification
142,How To Start A Social Media Marketing Agency With $0 in 2023,Iman Gadzhi,3950000,719057,41800,882,en,978,digital marketing course,Start Social Media Marketing Agency 0 2023
143,Learn Digital Marketing For Beginners In 7 Hours | Digital Marketing Full Course 2023 | Simplilearn,Simplilearn,3540000,2955,151,2,en,25536,digital marketing course,Learn Digital Marketing Beginners 7 Hours  Digital Marketing Course 2023  Simplilearn
144,MASTER Digital Marketing and MAKE MONEY! | STEP BY STEP GUIDE for Beginners | Warikoo Hindi,warikoo,3400000,544169,18593,443,hi,1376,digital marketing course,MASTER Digital Marketing MONEY  STEP STEP GUIDE Beginners  Warikoo Hindi
145,Google Digital Marketing & E-Commerce Certificate Courses Review,Aliena Cai,75400,53399,1659,92,en,444,digital marketing course,Google Digital Marketing  ECommerce Certificate Courses Review
146,How to Start SMMA (Beginner Friendly),Iman Gadzhi,3950000,2541757,139459,4602,en,1441,digital marketing course,Start SMMA Beginner Friendly
147,Lesson 1: Digital Marketing Introduction (FREE Digital Marketing Course),Digital Dhairya,402000,97745,4804,271,en,318,digital marketing course,Lesson 1 Digital Marketing Introduction FREE Digital Marketing Course
148,Digital Marketing Course In 11 Hours [2020] | Digital Marketing Tutorial For Beginners | Simplilearn,Simplilearn,3540000,197178,5313,157,en,41227,digital marketing course,Digital Marketing Course 11 Hours 2020  Digital Marketing Tutorial Beginners  Simplilearn
149,How To Start A Digital Marketing Agency In 2024 With NO EXPERIENCE! ($0 - $10k/mo In 90 Days!!),Jason Wardrop,204000,184129,8124,1081,en,1544,digital marketing course,Start Digital Marketing Agency 2024 EXPERIENCE 0  10kmo 90 Days
150,Python Developer Roadmap 2024 | FASTEST Way to Learn Python Programming & Get a JOB!,WsCube Tech,3020000,5299,457,29,hi,977,python programming,Python Developer Roadmap 2024  FASTEST Way Learn Python Programming  JOB
151,Python for Beginners - Learn Python in 1 Hour,Programming with Mosh,3680000,14917274,363935,18850,en,3606,python programming,Python Beginners  Learn Python 1 Hour
152,Learn Python - Full Course for Beginners [Tutorial],freeCodeCamp.org,8820000,42745660,1016294,43932,en,16012,python programming,Learn Python  Course Beginners Tutorial
153,Learn to code for FREE in 2024 using AI (explained in 5 minutes),Python Programmer,405000,4858,390,8,en,320,python programming,Learn code FREE 2024 AI explained 5 minutes
154,Python Tutorial - Python Full Course for Beginners,Programming with Mosh,3680000,36855297,1026551,55245,en,22447,python programming,Python Tutorial  Python Course Beginners
155,Python Slander (programming language),Virbox,24600,106625,5537,259,en,119,python programming,Python Slander programming language
156,REMOVE File Extensions In Python!! #python #programming #coding,b001,179000,90861,6195,122,en,58,python programming,REMOVE File Extensions Python python programming coding
157,Guido van Rossum: Python and the Future of Programming | Lex Fridman Podcast #341,Lex Fridman,3510000,1153015,15243,1311,en,11751,python programming,Guido van Rossum Python Future Programming  Lex Fridman Podcast 341
158,Bet You Didn't Know This Python Trick! #python #programming,Bool,365,634,27,2,en,40,python programming,Bet Know Python Trick python programming
159,Hello World in Python ||  Python Tutorial  ||  Python Programming,Socratica,864000,733048,8602,348,en,167,python programming,Hello World Python  Python Tutorial  Python Programming
160,Python Full Course for free 🐍,Bro Code,1470000,14611757,724716,20693,en,43200,python programming,Python Course free 
161,Python Programming Tutorial - 1 - Installing Python,thenewboston,2670000,2188313,12259,640,Unknown,325,python programming,Python Programming Tutorial  1  Installing Python
162,Python for Coding Interviews - Everything you need to Know,NeetCode,617000,259774,8462,212,Unknown,1578,python programming,Python Coding Interviews  need Know
163,Full Python Programming Course | Python Tutorial for Beginners | Learn Python,ProgrammingKnowledge,1710000,936400,12385,359,en,35203,python programming,Python Programming Course  Python Tutorial Beginners  Learn Python
164,Python for Beginners – Full Course [Programming Tutorial],freeCodeCamp.org,8820000,1887539,44246,958,en,16800,python programming,Python Beginners  Course Programming Tutorial
165,Draw Heart with Turtle Module | Python Programming Tutorial | Turtle Module Code #makeforindia #view,PythonScript ,1040,38264,1785,18,Unknown,21,python programming,Draw Heart Turtle Module  Python Programming Tutorial  Turtle Module Code makeforindia view
166,99% Of Python Programmers Never Learned THIS Feature,Indently,124000,1440546,113070,948,en,32,python programming,99 Python Programmers Learned Feature
167,How to create graphics using Python turtle 🐍🐢 #coding,Fun with Python,4270,521709,0,203,en,14,python programming,create graphics Python turtle  coding
